kappa_target,sigma,kappa_fleiss,kappa_cohen,n_splits,n_hi,n_lo,t1_r3,se_t1_r3,t2_r3,se_t2_r3,t1_aere,se_t1_aere,t2_aere,se_t2_aere
0.1,0.5246,0.0970,0.1082,177560,38900,57814,0.3833,0.0025,0.2870,0.0019,0.2235,0.0021,0.0465,0.0009
0.15,0.4129,0.1480,0.1668,165525,35587,50482,0.3515,0.0025,0.2475,0.0019,0.1756,0.0020,0.0444,0.0009
0.2,0.3434,0.1978,0.2175,155109,31558,44426,0.3333,0.0027,0.2103,0.0019,0.1570,0.0020,0.0436,0.0010
0.25,0.2938,0.2466,0.2720,144073,28059,38190,0.3069,0.0028,0.1799,0.0020,0.1281,0.0020,0.0448,0.0011
0.3,0.2562,0.2965,0.3254,133217,24344,32356,0.2925,0.0029,0.1519,0.0020,0.1165,0.0021,0.0426,0.0011
0.35,0.2249,0.3453,0.3784,122604,20578,26778,0.2795,0.0031,0.1357,0.0021,0.0988,0.0021,0.0428,0.0012
0.4,0.1988,0.3971,0.4313,112082,17141,21593,0.2558,0.0033,0.1080,0.0021,0.0858,0.0021,0.0428,0.0014
0.45,0.1759,0.4460,0.4843,101476,13504,16818,0.2461,0.0037,0.0944,0.0023,0.0719,0.0022,0.0424,0.0016
0.5,0.1545,0.4951,0.5339,91665,10326,12431,0.2238,0.0041,0.0731,0.0023,0.0628,0.0024,0.0426,0.0018
0.55,0.1345,0.5491,0.5879,80971,7153,8323,0.2126,0.0048,0.0557,0.0025,0.0519,0.0026,0.0428,0.0022
0.6,0.1163,0.5972,0.6385,141960,9159,10469,0.1904,0.0041,0.0370,0.0018,0.0382,0.0020,0.0429,0.0020
0.65,0.0986,0.6489,0.6910,181933,7285,8447,0.1573,0.0043,0.0204,0.0015,0.0316,0.0020,0.0389,0.0021
0.7,0.0817,0.6980,0.7412,304586,5951,6697,0.1324,0.0044,0.0085,0.0011,0.0242,0.0020,0.0393,0.0024
